article_id,Author,Gender
652,Первухин,м
653,Ролова,ж
654,Савина,ж
655,Смоленский,м
656,Фараджева,ж
657,Чистозвонов,м
658,Штекли,м
659,Бычкова,ж
660,Варьяш,ж
661,Гутнова,ж
662,Гутнова,ж
663,Ельчанинов,м
664,Коллектив авторов,—
665,Кочергин,м
666,Мильская,ж
667,Павулан,м
668,Пичугина,ж
669,Ролова,ж
670,Смоленский,м
671,Таценко,ж
672,Ульянов,м
673,Фрейденберг,м
674,Фролова,ж
675,Хачатурян,ж
676,Чистозвонов,м
677,Шакина,ж
678,Юсим,м
679,Барашкова,ж
680,Бессмертный,м
681,Варьяш,ж
682,Варьяш,ж
683,Воробьёва,ж
684,Данилов,м
685,Иванов,м
686,Каменецкий,м
687,Кёрнер,м
688,Кудрявцев,м
689,Мажуга,м
690,Могильницкий,м
691,Москаленко,м
692,Осипова,ж
693,Писарев,м
694,Редколлегия,—
695,Ролова,ж
696,Савина,ж
697,Серовайская,ж
698,Серовайский,м
699,Ульянов,м
700,Ускова,ж
701,Филиппов,м
702,Фрейденберг,м
703,Фролова,ж
704,Хлодовский,м
705,Черняк,м
706,Ястребицкая,ж
707,Авдеева,ж
708,Бессмертный,м
709,Брагина,ж
710,Девятайкина,ж
711,Корсунский,м
712,Котельникова,ж
713,Котельникова,ж
714,Кудрявцев,м
715,Курбатов,м
716,Маркова,ж
717,Мильская,ж
718,Мильская,ж
719,Могильницкий,м
720,Редколлегия,—
721,Репина,ж
722,Савина,ж
723,Серовайская,ж
724,Уваров,м
725,Ускова,ж
726,Фролова,ж
727,Шаркова,ж
728,Шаркова,ж
729,Басовская,ж
730,Богодарова,ж
731,Брагина,ж
732,Варьяш,ж
733,Варьяш,ж
734,Гутнова,ж
735,Гутнова,ж
736,Девятайкина,ж
737,Иванов,м
738,Каплюк,м
739,Кирсанова,ж
740,Ковалевский,м
741,Кюттлер,м
742,Мильская,ж
743,Редколлегия,—
744,Редколлегия,—
745,Редколлегия,—
746,Редколлегия,—
747,Сванидзе,ж
748,Смоленский,м
749,Федорова,ж
750,Фролова,ж
751,Хачатурян,ж
752,Чистозвонов,м
753,Шишлонова,ж
754,Эггерт,м
755,А.Н.,—
756,Бернадская,ж
757,Буданова,ж
758,Варьяш,ж
759,Горфункель,м
760,Григорьева,ж
761,Гутнова,ж
762,Гутнова,ж
763,Ковалевский,м
764,Котельникова,ж
765,Кудрявцев,м
766,Кудрявцев,м
767,Могильницкий,м
768,Москаленко,м
769,Москаленко,м
770,Редколлегия,—
771,Ролова,ж
772,Ронин,м
773,Савина,ж
774,Уколова,ж
775,Фролова,ж
776,Червонов,м
777,Чистозвонов,м
778,Шаркова,ж
779,Юсим,м
780,Бернадская,ж
781,Бессмертный,м
782,Блонин,м
783,Брагина,ж
784,Грязева,ж
785,Гусарова,ж
786,Гутнова,ж
787,Евдокимова,ж
788,Котельникова,ж
789,Кудрявцев,м
790,Мильская,ж
791,Мильская,ж
792,Некрасов,м
793,Осипова,ж
794,Плешкова,ж
795,Сванидзе,ж
796,Уколова,ж
797,Федорова,ж
798,Хлодовский,м
799,Чиколини,ж
800,Чистозвонов,м
801,Штекли,м
802,Штекли,м
803,Абрамсон,ж
804,Басовская,ж
805,Бернадская,ж
806,Бессмертный,м
